Co		T	Mol.SA		MolV		g/g
0.009625587388	0.4	0.6631977294	0.6265592229	0.01863
0.03876961617	0.4	0.6631977294	0.6265592229	0.04619
0.09772384577	0.4	0.6631977294	0.6265592229	0.07298
0.3903249483	0.4	0.6631977294	0.6265592229	0.11249
0.5854495265	0.4	0.6631977294	0.6265592229	0.10514
0.9754114709	0.4	0.6631977294	0.6265592229	0.12822
0.03880950671	0.6	0.6631977294	0.6265592229	0.03279
0.09730898415	0.6	0.6631977294	0.6265592229	0.07094
0.5852540629	0.6	0.6631977294	0.6265592229	0.14315
0.7802071117	0.6	0.6631977294	0.6265592229	0.14787
0.9751162809	0.6	0.6631977294	0.6265592229	0.15248
0.009789138604	0.8	0.6631977294	0.6265592229	0.01854
0.03888130969	0.8	0.6631977294	0.6265592229	0.04497
0.09728504982	0.8	0.6631977294	0.6265592229	0.06838
0.1943187892	0.8	0.6631977294	0.6265592229	0.10813
0.9750564451	0.8	0.6631977294	0.6265592229	0.19033
0.1950727205	1	0.6631977294	0.6265592229	0.10002
0.3901653862	1	0.6631977294	0.6265592229	0.13309
0.5845081097	1	0.6631977294	0.6265592229	0.15728
0.7798919764	1	0.6631977294	0.6265592229	0.15758
0.97512027	1	0.6631977294	0.6265592229	0.15249
0.009681434145	0.4	0.8284452854	0.8106855061	0.02277
0.03996633238	0.4	0.8284452854	0.8106855061	0.07369
0.5996864604	0.4	0.8284452854	0.8106855061	0.17133
0.8062516455	0.4	0.8284452854	0.8106855061	0.19116
1	0.4	0.8284452854	0.8106855061	0.17236
0.00978514955	0.6	0.8284452854	0.8106855061	0.02303
0.04078009941	0.6	0.8284452854	0.8106855061	0.06573
0.1194083435	0.6	0.8284452854	0.8106855061	0.11184
0.1994527018	0.6	0.8284452854	0.8106855061	0.125
0.9984801704	0.6	0.8284452854	0.8106855061	0.10905
0.009916788333	0.8	0.8284452854	0.8106855061	0.02286
0.03963125184	0.8	0.8284452854	0.8106855061	0.06735
0.09986596778	0.8	0.8284452854	0.8106855061	0.11685
0.1993529754	0.8	0.8284452854	0.8106855061	0.17275
0.3985942574	0.8	0.8284452854	0.8106855061	0.21972
0.9973791915	0.8	0.8284452854	0.8106855061	0.23929
0.009936733603	1	0.8284452854	0.8106855061	0.02241
0.03996633238	1	0.8284452854	0.8106855061	0.06319
0.1003127418	1	0.8284452854	0.8106855061	0.10897
0.5987809451	1	0.8284452854	0.8106855061	0.17056
0.7978427196	1	0.8284452854	0.8106855061	0.17708
0.9973951477	1	0.8284452854	0.8106855061	0.17583
0.009916788333	0.4		1		1	0.02386
0.0400780259	0.4		1		1	0.08547
0.5881979847	0.4		1		1	0.21503
0.7859992181	0.4		1		1		0.22889
0.9822247752	0.4		1		1	0.2488
0.009912799279	0.6		1		1	0.02385
0.03908475144	0.6		1		1	0.08198
0.09844187549	0.6		1		1	0.13528
0.7853689476	0.6		1		1	0.24081
0.9814987674	0.6		1		1	0.19848
0.00978514955	0.8		1		1	0.02353
0.3928779429	0.8		1		1	0.19489
0.5889279816	0.8		1		1	0.21086
0.7848663268	0.8		1		1	0.19905
0.9810081137	0.8		1		1	0.20625
0.01004044901	1		1		1	0.02417
0.03981075928	1		1		1	0.0848
0.5970616628	1		1		1	0.22225
0.7924933981	1		1		1	0.21967
0.9957077779	1		1		1	0.2881
